,Year,Player,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,MVP,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,wl_pct,seed,highest_teammate_vorp,highest_teammate_ws
38,1984,Bernard King,NYK,0.491,77,34.6,26.3,5.1,2.1,1.0,0.2,0.572,0.0,0.779,12.1,0.218,N,22.7,0.619,0.003,0.403,5.6,12.3,9.0,11.1,1.4,0.4,10.7,28.7,8.6,3.5,4.6,-0.2,4.5,4.3,0.573170731707317,5,2.9,9.8
39,1984,Magic Johnson,LAL,0.401,67,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,0.191,N,22.6,0.628,0.037,0.459,4.7,16.1,10.8,42.5,2.7,1.0,24.6,19.5,6.7,3.6,4.8,1.8,6.6,5.6,0.6585365853658537,1,3.3,8.9
40,1984,Kareem Abdul-Jabbar,LAL,0.201,80,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0.0,0.723,8.9,0.163,N,21.3,0.608,0.001,0.318,7.8,16.8,12.7,11.5,1.0,2.9,13.5,25.1,5.9,3.1,2.8,0.2,3.0,3.3,0.6585365853658537,1,5.6,10.2
41,1984,Isiah Thomas,DET,0.151,82,36.7,21.3,4.0,11.1,2.5,0.4,0.462,0.338,0.733,9.1,0.144,N,20.9,0.52,0.045,0.365,3.5,8.2,5.8,41.5,3.1,0.6,15.4,25.4,5.7,3.4,4.0,0.7,4.8,5.1,0.5975609756097561,4,2.7,10.8
42,1984,Julius Erving,PHI,0.129,77,34.8,22.4,6.9,4.0,1.8,1.8,0.512,0.333,0.754,10.1,0.18,N,22.9,0.562,0.016,0.365,8.3,14.1,11.2,19.3,2.5,3.0,13.0,27.2,5.6,4.5,4.3,1.6,5.9,5.3,0.6341463414634146,2,2.9,9.5
43,1984,Adrian Dantley,UTA,0.116,79,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,0.235,N,24.6,0.652,0.003,0.658,6.7,9.0,7.9,16.2,0.9,0.1,12.4,28.2,13.0,1.6,5.8,-1.5,4.2,4.7,0.5487804878048781,3,3.5,7.9
44,1984,Sidney Moncrief,MIL,0.092,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198,N,19.8,0.591,0.016,0.555,8.3,11.1,9.8,17.1,1.7,0.5,13.4,22.2,8.4,4.2,3.7,0.4,4.1,4.7,0.6097560975609756,3,3.8,8.6
45,1985,Larry Bird,BOS,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,Y,26.5,0.585,0.074,0.26,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,10.5,5.2,6.8,2.0,8.8,8.7,0.7682926829268293,1,3.0,11.0
46,1985,Magic Johnson,LAL,0.338,77,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,0.22,N,23.2,0.637,0.041,0.516,4.1,14.4,9.7,42.5,1.9,0.5,21.7,20.5,9.5,3.2,5.8,0.8,6.7,6.1,0.7560975609756098,1,4.8,11.2
47,1985,Moses Malone,PHI,0.279,79,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0.0,0.815,11.9,0.193,N,22.5,0.577,0.002,0.704,14.8,24.4,19.7,6.6,1.1,2.4,14.5,26.8,7.9,4.0,3.0,-1.4,1.6,2.7,0.7073170731707317,3,3.8,9.0
48,1985,Kareem Abdul-Jabbar,LAL,0.264,79,33.3,22.0,7.9,3.2,0.8,2.1,0.599,0.0,0.732,11.2,0.204,N,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,7.6,3.6,3.9,1.2,5.1,4.8,0.7560975609756098,1,6.1,12.7
49,1985,Terry Cummings,MIL,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0.0,0.741,10.7,0.189,N,22.1,0.536,0.001,0.302,10.0,19.1,14.6,13.5,2.1,1.5,9.9,28.8,5.6,5.1,3.6,0.7,4.3,4.3,0.7195121951219512,2,4.7,11.2
50,1985,Michael Jordan,CHI,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14.0,0.213,N,25.8,0.592,0.032,0.459,6.3,13.2,9.8,25.3,3.0,1.3,13.0,29.8,10.3,3.7,5.8,1.5,7.3,7.4,0.4634146341463415,7,2.5,9.0
51,1985,Bernard King,NYK,0.09,55,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166,N,25.2,0.585,0.008,0.424,6.2,11.8,8.9,18.6,1.7,0.4,11.7,35.1,5.7,1.5,6.1,-1.0,5.1,3.6,0.2926829268292683,10,1.7,4.8
52,1985,Sidney Moncrief,MIL,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197,N,20.1,0.565,0.028,0.472,6.1,9.8,7.9,20.1,2.1,0.8,11.6,23.6,7.3,3.9,3.8,1.0,4.8,4.7,0.7195121951219512,2,4.5,10.7
53,1985,Isiah Thomas,DET,0.081,81,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,0.173,N,22.2,0.529,0.08,0.35,3.7,8.7,6.1,47.9,2.8,0.4,15.7,24.0,7.5,3.6,5.1,1.2,6.3,6.5,0.5609756097560976,4,2.4,9.8
54,1985,Ralph Sampson,HOU,0.033,82,37.6,22.1,10.4,2.7,1.0,2.0,0.502,0.0,0.676,6.2,0.096,N,17.4,0.533,0.004,0.299,8.2,22.6,15.4,10.4,1.2,3.1,16.1,25.9,1.4,4.8,-0.3,0.7,0.4,1.8,0.5853658536585366,3,3.6,10.2
55,1986,Larry Bird,BOS,0.981,82,38.0,25.8,9.8,6.8,2.0,0.6,0.496,0.423,0.896,15.8,0.244,Y,25.6,0.58,0.121,0.306,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,9.6,6.2,6.6,2.1,8.7,8.4,0.8170731707317073,1,3.9,11.0
56,1986,Dominique Wilkins,ATL,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,N,23.3,0.536,0.037,0.372,9.5,12.9,11.2,11.7,2.2,0.9,10.2,32.9,7.0,3.9,4.6,-0.5,4.2,4.8,0.6097560975609756,4,2.1,5.9
57,1986,Magic Johnson,LAL,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,N,24.0,0.61,0.047,0.473,3.9,14.3,9.4,45.1,2.0,0.3,19.8,21.6,9.0,3.1,6.0,0.7,6.7,5.7,0.7560975609756098,1,4.9,10.8
58,1986,Hakeem Olajuwon,HOU,0.247,68,36.3,23.5,11.5,2.0,2.0,3.4,0.526,,0.645,9.5,0.186,N,24.2,0.56,0.0,0.453,14.4,19.8,17.1,8.0,2.5,5.2,12.0,25.6,5.3,4.2,2.9,1.2,4.0,3.8,0.6219512195121951,2,2.1,6.3
59,1986,Kareem Abdul-Jabbar,LAL,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0.0,0.765,10.8,0.197,N,22.7,0.603,0.001,0.328,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,7.6,3.2,4.4,1.0,5.4,4.9,0.7560975609756098,1,5.7,12.1
60,1986,Charles Barkley,PHI,0.171,80,36.9,20.0,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,N,22.4,0.619,0.072,0.555,13.4,25.4,19.4,16.0,2.8,2.4,21.3,22.4,5.4,5.5,3.1,2.1,5.1,5.3,0.6585365853658537,3,4.6,10.6
61,1986,Sidney Moncrief,MIL,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,N,20.0,0.604,0.107,0.603,5.0,9.4,7.3,19.2,1.9,0.4,12.5,21.8,8.3,3.4,4.2,0.7,4.9,4.5,0.6951219512195121,2,5.3,9.8
62,1986,Alex English,DEN,0.071,81,37.3,29.8,5.0,4.0,0.9,0.4,0.504,0.2,0.862,9.8,0.156,N,21.7,0.562,0.003,0.314,6.3,7.7,7.0,17.0,1.1,0.5,10.4,30.5,7.6,2.3,4.4,-1.5,2.9,3.7,0.573170731707317,3,2.4,6.1
63,1986,Isiah Thomas,DET,0.036,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,N,21.2,0.554,0.067,0.37,3.1,7.6,5.3,40.7,2.8,0.4,16.6,24.4,6.1,2.7,4.3,0.7,5.0,4.9,0.5609756097560976,5,2.5,9.2
64,1987,Magic Johnson,LAL,0.94,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,Y,27.0,0.602,0.03,0.482,5.0,13.7,9.7,47.2,2.2,0.7,15.9,26.3,12.1,3.8,7.5,1.3,8.8,8.0,0.7926829268292683,1,3.3,9.3
65,1987,Michael Jordan,CHI,0.576,82,40.0,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,N,29.8,0.562,0.029,0.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,11.9,5.0,8.4,2.4,10.8,10.6,0.4878048780487805,8,0.9,6.0
66,1987,Larry Bird,BOS,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243,N,26.4,0.612,0.15,0.304,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,10.4,4.8,7.3,2.0,9.4,8.6,0.7195121951219512,1,5.5,14.8
67,1987,Kevin McHale,BOS,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0.0,0.836,14.8,0.232,N,24.0,0.655,0.003,0.392,9.9,17.5,14.0,9.8,0.6,3.1,11.4,24.1,10.8,4.0,4.7,0.4,5.1,5.5,0.7195121951219512,1,8.6,15.2
68,1987,Dominique Wilkins,ATL,0.164,79,37.6,29.0,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197,N,23.5,0.543,0.059,0.415,7.7,10.3,9.0,14.9,1.9,1.0,9.2,32.3,8.4,3.7,5.5,0.0,5.5,5.6,0.6951219512195121,2,5.3,10.3
69,1987,Charles Barkley,PHI,0.145,68,40.3,23.0,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12.0,0.21,N,25.1,0.66,0.111,0.602,16.7,24.8,20.8,19.0,2.1,2.2,21.4,23.1,7.7,4.3,5.4,1.3,6.7,6.0,0.5487804878048781,5,3.4,7.9
70,1987,Hakeem Olajuwon,HOU,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189,N,23.8,0.554,0.004,0.428,12.7,21.3,17.1,12.6,2.4,5.3,12.6,26.8,4.9,6.0,3.1,2.7,5.8,5.4,0.5121951219512195,5,3.7,9.4
71,1987,Isiah Thomas,DET,0.022,81,37.2,20.6,3.9,10.0,1.9,0.2,0.463,0.194,0.768,7.6,0.121,N,18.8,0.528,0.072,0.385,3.0,8.2,5.7,39.3,2.4,0.4,17.8,25.9,3.8,3.8,2.9,0.4,3.3,4.0,0.6341463414634146,3,3.0,10.5
72,1987,Fat Lever,DEN,0.014,82,37.2,18.9,8.9,8.0,2.5,0.4,0.469,0.239,0.782,9.7,0.153,N,20.8,0.515,0.067,0.228,7.0,18.8,12.5,29.1,3.0,0.6,10.0,21.1,6.0,3.8,3.5,1.4,5.0,5.4,0.45121951219512196,8,3.1,8.1
73,1988,Michael Jordan,CHI,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,Y,31.7,0.603,0.027,0.43,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,15.2,6.1,8.8,4.2,13.0,12.5,0.6097560975609756,3,1.0,6.7
74,1988,Larry Bird,BOS,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15.0,0.243,N,27.8,0.608,0.142,0.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,11.2,3.8,7.8,1.0,8.8,8.1,0.6951219512195121,1,3.3,10.2
75,1988,Magic Johnson,LAL,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199,N,23.1,0.581,0.056,0.491,4.0,14.8,9.7,45.4,2.1,0.3,18.2,23.4,7.8,3.1,5.2,0.8,6.0,5.3,0.7560975609756098,1,4.2,10.7
76,1988,Charles Barkley,PHI,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253,N,27.6,0.665,0.122,0.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,13.4,3.3,7.3,0.1,7.4,7.5,0.43902439024390244,10,3.9,8.3
